Order,Parking,Age,Gender,Monthly expenditure (CNY),The frequency of using shared bicycles,Riding with smooth,Riding time,Interventions
,"Orderly parking=1/
Disorderly parking=0","Younger than 18=0/
Between 18 and 24/ Older than 24","Female=0/
Male=1
","Under 1000=1/ 
Between 1000 and 2000=2/ Larger than 2000=3","Never=0/ 
Seldom=1/ 
Sometimes=2/ 
Often=3","Yes=1/
No=0",,"No interventions= 1/
Norm=2/ 
Warning=3/ 
Money=4"
1,1,2,0,1,3,0,10,1
2,0,2,0,2,2,1,8,1
3,1,1,0,2,3,1,7,1
4,1,2,0,2,1,1,8,1
5,0,2,1,2,3,1,5,1
6,0,2,0,3,3,0,6,1
7,0,2,0,2,1,1,10,1
8,1,2,0,3,0,1,7,1
9,1,2,0,2,3,1,6,1
10,1,2,0,2,3,1,7,1
11,1,2,0,2,3,1,8,1
12,1,3,0,2,3,1,7,1
13,0,2,1,2,2,1,7,1
14,1,2,1,2,1,1,6,1
15,0,2,1,1,3,1,7,1
16,1,2,1,2,3,1,7,1
17,1,2,0,3,3,0,8,1
18,0,2,1,3,3,1,5,1
19,1,2,1,1,2,1,5,1
20,1,2,1,2,3,1,11,1
21,1,2,1,2,3,1,7,1
22,0,1,0,3,2,1,7,1
23,1,2,0,3,3,1,9,1
24,0,2,1,2,3,1,6,1
25,0,2,0,3,3,1,7,1
26,1,2,0,1,3,1,6,1
27,1,2,0,2,1,1,8,1
28,1,2,0,1,1,1,6,1
29,1,2,0,1,3,1,11,1
30,0,3,1,1,2,1,9,1
31,1,2,1,2,1,1,8,1
32,1,2,0,2,3,1,12,2
33,1,2,0,2,2,1,7,2
34,1,2,1,2,1,1,11,2
35,1,2,1,2,3,1,8,2
36,1,2,1,1,3,1,8,2
37,1,2,1,2,1,1,7,2
38,0,2,0,3,2,1,10,2
39,0,2,0,2,3,1,6,2
40,1,2,0,2,3,1,7,2
41,1,2,1,2,1,0,7,2
42,1,2,1,2,3,1,8,2
43,1,2,1,2,3,1,6,2
44,1,2,0,2,3,1,8,2
45,1,2,1,2,3,1,6,2
46,0,2,0,2,1,0,10,2
47,1,2,0,1,2,1,7,2
48,1,2,0,2,2,1,12,2
49,0,2,0,2,3,1,9,2
50,1,2,1,1,2,1,5,2
51,1,2,1,1,2,0,9,2
52,0,2,1,2,2,1,10,2
53,1,2,1,2,3,1,6,2
54,1,2,0,2,2,1,6,2
55,1,2,1,1,2,1,8,2
56,1,2,0,2,3,1,8,2
57,0,2,0,3,3,1,7,2
58,0,2,0,2,3,1,7,2
59,1,2,0,2,2,1,7,2
60,1,2,0,2,2,1,7,2
61,1,2,1,2,2,1,10,2
62,1,2,1,2,3,1,7,2
63,0,2,0,2,2,1,9,3
64,1,1,0,2,3,1,7,3
65,1,2,1,2,3,1,7,3
66,1,2,1,2,1,1,6,3
67,0,2,1,1,3,0,9,3
68,1,1,0,2,2,1,7,3
69,1,2,1,2,2,1,7,3
70,1,2,0,2,3,1,5,3
71,1,2,0,1,2,1,8,3
72,1,2,0,2,3,1,6,3
73,1,2,0,2,3,1,8,3
74,1,3,1,3,1,1,7,3
75,0,2,1,2,1,1,5,3
76,1,3,0,3,2,1,9,3
77,1,2,0,2,2,1,8,3
78,1,2,1,2,3,1,6,3
79,1,2,0,2,2,1,6,3
80,1,2,0,2,1,1,7,3
81,1,2,0,2,0,1,9,3
82,1,2,0,2,1,1,7,3
83,1,2,1,2,2,1,8,3
84,1,2,1,1,3,1,6,3
85,1,2,1,1,3,1,6,3
86,0,2,1,1,1,1,6,3
87,1,2,1,2,3,1,8,3
88,1,2,1,3,2,1,7,3
89,1,2,1,2,2,1,6,3
90,1,2,0,2,2,0,7,3
91,0,2,0,2,2,0,9,3
92,1,2,1,2,3,1,5,3
93,1,2,1,1,2,1,6,4
94,1,2,1,2,1,0,8,4
95,1,2,0,2,1,0,10,4
96,1,3,0,3,3,1,8,4
97,1,2,0,2,2,1,9,4
98,1,2,0,2,2,1,9,4
99,1,2,1,2,2,1,8,4
100,1,2,1,2,1,1,4,4
101,1,2,1,3,2,1,5,4
102,1,2,1,2,1,1,6,4
103,1,2,0,2,2,1,7,4
104,0,1,0,2,3,1,7,4
105,1,2,1,2,0,0,9,4
106,0,1,0,3,2,1,9,4
107,1,2,1,1,3,1,4,4
108,1,2,0,3,3,1,8,4
109,1,2,0,2,1,1,9,4
110,0,1,1,1,0,1,7,4
111,1,2,0,2,3,1,8,4
112,1,2,1,2,1,1,6,4
113,1,3,0,1,2,1,9,4
114,1,2,0,2,2,1,8,4
115,1,2,0,1,2,1,7,4
116,1,2,0,2,3,1,6,4
117,0,2,0,3,3,1,6,4
118,1,2,1,2,1,1,8,4
119,1,2,0,3,2,1,7,4
120,1,2,1,2,2,1,6,4
121,1,2,0,2,3,1,6,4
122,0,2,1,3,0,1,7,4
